document_id,selected_occupation,source_type,source_name,source_reference,document_text
RAG_DOC_0015,"Driver, Truck",Occupation Profile,O*NET,53-3032.00,"Occupation: Driver, Truck. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 29 task records, 12 education records, and 29 training records."
RAG_DOC_0016,Delivery Driver,Occupation Profile,O*NET,53-3033.00,"Occupation: Delivery Driver. O*NET occupation: Light Truck Drivers (53-3033.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 13 task records, 12 education records, and 29 training records."
RAG_DOC_0017,Secondary School Teacher,Occupation Profile,O*NET,25-2031.00,"Occupation: Secondary School Teacher. O*NET occupation: Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00). Job Zone: 4. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 32 task records, 12 education records, and 29 training records."
RAG_DOC_0018,Continuing Care Assistant,Occupation Profile,O*NET,31-1131.00,"Occupation: Continuing Care Assistant. O*NET occupation: Nursing Assistants (31-1131.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 33 task records, 12 education records, and 29 training records."
RAG_DOC_0019,Continuing Care Assistant,Occupation Profile,O*NET,31-1132.00,"Occupation: Continuing Care Assistant. O*NET occupation: Orderlies (31-1132.00). Job Zone: 2. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 22 task records, 12 education records, and 29 training records."
RAG_DOC_0020,Licensed Practical Nurse (L.P.N.),Occupation Profile,O*NET,29-2061.00,"Occupation: Licensed Practical Nurse (L.P.N.). O*NET occupation: Licensed Practical and Licensed Vocational Nurses (29-2061.00). Job Zone: 3. The O*NET profile contains 10 skill records, 33 knowledge records, 52 ability records, 22 task records, 12 education records, and 29 training records."
RAG_DOC_0021,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Active Learning as a relevant skill. The skill importance score is 2.88 and the required level is 3.00. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0022,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Active Listening as a relevant skill. The skill importance score is 4.00 and the required level is 3.75. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0023,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.00 and the required level is 3.62. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0024,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.12 and the required level is 1.88. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0025,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Mathematics as a relevant skill. The skill importance score is 2.00 and the required level is 1.62. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0026,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.12 and the required level is 3.25. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0027,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.88 and the required level is 3.88. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0028,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Science as a relevant skill. The skill importance score is 1.00 and the required level is 0.00. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0029,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Speaking as a relevant skill. The skill importance score is 4.00 and the required level is 3.62. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0030,Administrative Assistant,O*NET Skill,O*NET,43-6014.00,"For Administrative Assistant, O*NET identifies Writing as a relevant skill. The skill importance score is 3.75 and the required level is 3.50. O*NET occupation: Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)."
RAG_DOC_0031,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Active Learning as a relevant skill. The skill importance score is 2.75 and the required level is 3.12. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0032,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.25 and the required level is 3.75. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0033,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.25 and the required level is 3.25. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0034,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.00 and the required level is 1.88. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0035,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Mathematics as a relevant skill. The skill importance score is 3.38 and the required level is 3.38. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0036,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.00 and the required level is 2.88. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0037,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.25 and the required level is 3.75. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0038,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Science as a relevant skill. The skill importance score is 1.12 and the required level is 0.12. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0039,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0040,Bookkeeper,O*NET Skill,O*NET,43-3031.00,"For Bookkeeper, O*NET identifies Writing as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)."
RAG_DOC_0041,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Active Learning as a relevant skill. The skill importance score is 2.88 and the required level is 2.75. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0042,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.62 and the required level is 3.00. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0043,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0044,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.38 and the required level is 2.12. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0045,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Mathematics as a relevant skill. The skill importance score is 2.12 and the required level is 1.88. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0046,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.25 and the required level is 3.00. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0047,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.12 and the required level is 3.00. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0048,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Science as a relevant skill. The skill importance score is 1.75 and the required level is 0.88. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0049,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.12 and the required level is 3.00. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0050,Continuing Care Assistant,O*NET Skill,O*NET,31-1131.00,"For Continuing Care Assistant, O*NET identifies Writing as a relevant skill. The skill importance score is 2.75 and the required level is 2.75. O*NET occupation: Nursing Assistants (31-1131.00)."
RAG_DOC_0051,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Active Learning as a relevant skill. The skill importance score is 2.12 and the required level is 2.00. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0052,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.12 and the required level is 2.88. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0053,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.00 and the required level is 2.75. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0054,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.00 and the required level is 1.62. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0055,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Mathematics as a relevant skill. The skill importance score is 2.25 and the required level is 2.12. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0056,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.12 and the required level is 2.75. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0057,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.12 and the required level is 3.00. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0058,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Science as a relevant skill. The skill importance score is 1.12 and the required level is 0.12. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0059,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.12 and the required level is 2.88. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0060,Delivery Driver,O*NET Skill,O*NET,53-3033.00,"For Delivery Driver, O*NET identifies Writing as a relevant skill. The skill importance score is 2.75 and the required level is 2.50. O*NET occupation: Light Truck Drivers (53-3033.00)."
RAG_DOC_0061,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Active Learning as a relevant skill. The skill importance score is 2.50 and the required level is 2.12. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0062,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Active Listening as a relevant skill. The skill importance score is 2.88 and the required level is 3.00. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0063,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.00 and the required level is 2.88. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0064,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.00 and the required level is 1.75. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0065,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Mathematics as a relevant skill. The skill importance score is 2.00 and the required level is 1.88. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0066,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.12 and the required level is 3.00. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0067,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.00 and the required level is 3.00. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0068,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Science as a relevant skill. The skill importance score is 1.00 and the required level is 0.00. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0069,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.00 and the required level is 2.88. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0070,"Driver, Truck",O*NET Skill,O*NET,53-3032.00,"For Driver, Truck, O*NET identifies Writing as a relevant skill. The skill importance score is 2.75 and the required level is 2.62. O*NET occupation: Heavy and Tractor-Trailer Truck Drivers (53-3032.00)."
RAG_DOC_0071,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Active Learning as a relevant skill. The skill importance score is 3.00 and the required level is 3.12. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0072,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.75 and the required level is 3.00. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0073,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.12 and the required level is 3.75. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0074,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0075,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Mathematics as a relevant skill. The skill importance score is 3.00 and the required level is 3.00. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0076,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.88 and the required level is 4.00. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0077,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.25 and the required level is 3.62. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0078,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Science as a relevant skill. The skill importance score is 1.00 and the required level is 0.00. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0079,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.88 and the required level is 4.00. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0080,Food Service Supervisor,O*NET Skill,O*NET,35-1012.00,"For Food Service Supervisor, O*NET identifies Writing as a relevant skill. The skill importance score is 3.00 and the required level is 3.12. O*NET occupation: First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)."
RAG_DOC_0081,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Active Learning as a relevant skill. The skill importance score is 3.75 and the required level is 4.75. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0082,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Active Listening as a relevant skill. The skill importance score is 4.00 and the required level is 4.12. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0083,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 4.00 and the required level is 4.12. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0084,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 3.75 and the required level is 4.00. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0085,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Mathematics as a relevant skill. The skill importance score is 3.00 and the required level is 3.38. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0086,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.62 and the required level is 4.00. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0087,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 4.38 and the required level is 4.88. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0088,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Science as a relevant skill. The skill importance score is 2.75 and the required level is 3.12. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0089,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Speaking as a relevant skill. The skill importance score is 4.00 and the required level is 4.00. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0090,Information Technology (IT) Analyst,O*NET Skill,O*NET,15-1211.00,"For Information Technology (IT) Analyst, O*NET identifies Writing as a relevant skill. The skill importance score is 4.00 and the required level is 4.00. O*NET occupation: Computer Systems Analysts (15-1211.00)."
RAG_DOC_0091,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Active Learning as a relevant skill. The skill importance score is 3.00 and the required level is 2.88. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0092,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.75 and the required level is 3.75. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0093,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0094,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 2.62 and the required level is 2.25. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0095,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Mathematics as a relevant skill. The skill importance score is 2.62 and the required level is 2.00. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0096,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Monitoring as a relevant skill. The skill importance score is 3.00 and the required level is 3.12. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0097,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Reading Comprehension as a relevant skill. The skill importance score is 3.00 and the required level is 3.12. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0098,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Science as a relevant skill. The skill importance score is 1.00 and the required level is 0.00. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0099,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Speaking as a relevant skill. The skill importance score is 3.75 and the required level is 3.12. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0100,Inside Sales Representative,O*NET Skill,O*NET,41-2031.00,"For Inside Sales Representative, O*NET identifies Writing as a relevant skill. The skill importance score is 3.00 and the required level is 3.00. O*NET occupation: Retail Salespersons (41-2031.00)."
RAG_DOC_0101,Licensed Practical Nurse (L.P.N.),O*NET Skill,O*NET,29-2061.00,"For Licensed Practical Nurse (L.P.N.), O*NET identifies Active Learning as a relevant skill. The skill importance score is 3.38 and the required level is 3.25. O*NET occupation: Licensed Practical and Licensed Vocational Nurses (29-2061.00)."
RAG_DOC_0102,Licensed Practical Nurse (L.P.N.),O*NET Skill,O*NET,29-2061.00,"For Licensed Practical Nurse (L.P.N.), O*NET identifies Active Listening as a relevant skill. The skill importance score is 3.88 and the required level is 4.00. O*NET occupation: Licensed Practical and Licensed Vocational Nurses (29-2061.00)."
RAG_DOC_0103,Licensed Practical Nurse (L.P.N.),O*NET Skill,O*NET,29-2061.00,"For Licensed Practical Nurse (L.P.N.), O*NET identifies Critical Thinking as a relevant skill. The skill importance score is 3.75 and the required level is 4.00. O*NET occupation: Licensed Practical and Licensed Vocational Nurses (29-2061.00)."
RAG_DOC_0104,Licensed Practical Nurse (L.P.N.),O*NET Skill,O*NET,29-2061.00,"For Licensed Practical Nurse (L.P.N.), O*NET identifies Learning Strategies as a relevant skill. The skill importance score is 3.12 and the required level is 3.12. O*NET occupation: Licensed Practical and Licensed Vocational Nurses (29-2061.00)."
