candidate_id,selected_occupation,skill,importance,level,candidate_evidence,skill_gap_priority,demand_percentage,prescriptive_priority_score,prescriptive_priority_percentage,skill_priority_rank,cip_program_count,cip_pathway_available,cip_status,education_action,priority_level,demand_level,prescriptive_action
Candidate_001,Licensed Practical Nurse (L.P.N.),Speaking,3.88,4.0,0.0,0.788,30.39,0.594,59.44,1,2,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (59.44%). Review mapped CIP education pathways for this occupation.
Candidate_001,Office Administrator,Active Listening,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (69.14%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Office Administrator,Monitoring,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (69.14%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Office Administrator,Speaking,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (69.14%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Office Manager,Monitoring,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (69.14%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Office Manager,Speaking,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (69.14%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Office Manager,Active Listening,4.0,3.88,0.0,0.788,52.86,0.684,68.42,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (68.42%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Restaurant Manager,Speaking,3.88,4.0,0.0,0.788,58.65,0.707,70.74,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Speaking. The skill gap has high prescriptive priority (70.74%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Restaurant Manager,Monitoring,3.88,3.88,0.0,0.776,58.65,0.7,70.02,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Monitoring. The skill gap has high prescriptive priority (70.02%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Restaurant Manager,Active Listening,3.88,3.5,0.0,0.738,58.65,0.677,67.74,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (67.74%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Retail Sales Associate,Active Listening,3.75,3.75,0.0,0.75,86.44,0.796,79.58,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Active Listening. The skill gap has high prescriptive priority (79.58%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Retail Sales Associate,Speaking,3.75,3.12,0.0,0.687,86.44,0.758,75.8,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Speaking. The skill gap has high prescriptive priority (75.80%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Retail Sales Associate,Monitoring,3.0,3.12,0.0,0.612,86.44,0.713,71.3,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Monitoring. The skill gap has high prescriptive priority (71.30%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_001,Secondary School Teacher,Speaking,4.0,4.12,0.0,0.812,36.36,0.633,63.26,1,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (63.26%). Review mapped CIP education pathways for this occupation.
Candidate_001,Secondary School Teacher,Active Listening,4.0,4.0,0.0,0.8,36.36,0.625,62.54,2,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (62.54%). Review mapped CIP education pathways for this occupation.
Candidate_001,Secondary School Teacher,Monitoring,3.88,4.0,0.0,0.788,36.36,0.618,61.82,3,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Monitoring as a medium-priority skill gap (61.82%). Review mapped CIP education pathways for this occupation.
Candidate_001,Software Developer,Active Listening,3.38,3.88,0.0,0.726,22.91,0.527,52.72,1,20,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (52.72%). Review mapped CIP education pathways for this occupation.
Candidate_001,Software Developer,Speaking,3.12,3.62,0.0,0.6739999999999999,22.91,0.496,49.6,2,20,True,CIP pathway available,Review mapped CIP education pathways,Lower,Lower,Consider developing Speaking as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_001,Software Developer,Monitoring,3.0,3.5,0.0,0.6499999999999999,22.91,0.482,48.16,3,20,True,CIP pathway available,Review mapped CIP education pathways,Lower,Lower,Consider developing Monitoring as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_002,Administrative Assistant,Active Listening,4.0,3.75,0.0,0.775,43.85,0.64,64.04,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (64.04%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Administrative Assistant,Speaking,4.0,3.62,0.0,0.762,43.85,0.633,63.26,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (63.26%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Administrative Assistant,Monitoring,3.12,3.25,0.0,0.637,43.85,0.558,55.76,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (55.76%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Bookkeeper,Active Listening,3.25,3.75,0.0,0.7,29.92,0.54,53.97,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (53.97%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Bookkeeper,Mathematics,3.38,3.38,0.0,0.6759999999999999,29.92,0.525,52.53,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Mathematics as a medium-priority skill gap (52.53%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Bookkeeper,Speaking,3.12,3.12,0.0,0.624,29.92,0.494,49.41,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Lower,Lower,Consider developing Speaking as an additional skill for the target occupation. Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Continuing Care Assistant,Active Listening,3.62,3.0,0.0,0.6619999999999999,43.96,0.573,57.3,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (57.30%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Continuing Care Assistant,Monitoring,3.25,3.0,0.0,0.625,43.96,0.551,55.08,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (55.08%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Continuing Care Assistant,Speaking,3.12,3.0,0.0,0.612,43.96,0.543,54.3,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (54.30%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Delivery Driver,Active Listening,3.12,2.88,0.0,0.6,37.05,0.508,50.82,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (50.82%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Delivery Driver,Speaking,3.12,2.88,0.0,0.6,37.05,0.508,50.82,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (50.82%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Delivery Driver,Monitoring,3.12,2.75,0.0,0.587,37.05,0.5,50.04,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Monitoring as a medium-priority skill gap (50.04%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,"Driver, Truck",Monitoring,3.12,3.0,0.0,0.612,88.8,0.722,72.24,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Monitoring. The skill gap has high prescriptive priority (72.24%) and the occupation has high Canadian labour demand (88.80%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,"Driver, Truck",Active Listening,2.88,3.0,0.0,0.588,88.8,0.708,70.8,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Active Listening. The skill gap has high prescriptive priority (70.80%) and the occupation has high Canadian labour demand (88.80%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,"Driver, Truck",Speaking,3.0,2.88,0.0,0.588,88.8,0.708,70.8,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Speaking. The skill gap has high prescriptive priority (70.80%) and the occupation has high Canadian labour demand (88.80%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Food Service Supervisor,Monitoring,3.88,4.0,0.0,0.788,68.33,0.746,74.61,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Monitoring. The skill gap has high prescriptive priority (74.61%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Food Service Supervisor,Speaking,3.88,4.0,0.0,0.788,68.33,0.746,74.61,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Speaking. The skill gap has high prescriptive priority (74.61%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Food Service Supervisor,Active Listening,3.75,3.0,0.0,0.675,68.33,0.678,67.83,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (67.83%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Information Technology (IT) Analyst,Active Listening,4.0,4.12,0.0,0.812,26.64,0.594,59.38,1,22,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (59.38%). Review mapped CIP education pathways for this occupation.
Candidate_002,Information Technology (IT) Analyst,Speaking,4.0,4.0,0.0,0.8,26.64,0.587,58.66,2,22,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (58.66%). Review mapped CIP education pathways for this occupation.
Candidate_002,Information Technology (IT) Analyst,Monitoring,3.62,4.0,0.0,0.762,26.64,0.564,56.38,3,22,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Monitoring as a medium-priority skill gap (56.38%). Review mapped CIP education pathways for this occupation.
Candidate_002,Inside Sales Representative,Active Listening,3.75,3.75,0.0,0.75,86.44,0.796,79.58,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Active Listening. The skill gap has high prescriptive priority (79.58%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Inside Sales Representative,Speaking,3.75,3.12,0.0,0.687,86.44,0.758,75.8,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Speaking. The skill gap has high prescriptive priority (75.80%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Inside Sales Representative,Monitoring,3.0,3.12,0.0,0.612,86.44,0.713,71.3,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Monitoring. The skill gap has high prescriptive priority (71.30%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Licensed Practical Nurse (L.P.N.),Active Listening,3.88,4.0,0.0,0.788,30.39,0.594,59.44,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (59.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Licensed Practical Nurse (L.P.N.),Monitoring,3.88,4.0,0.0,0.788,30.39,0.594,59.44,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Monitoring as a medium-priority skill gap (59.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Licensed Practical Nurse (L.P.N.),Speaking,3.88,4.0,0.0,0.788,30.39,0.594,59.44,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (59.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Office Administrator,Active Listening,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (69.14%). Review mapped CIP education pathways for this occupation.
Candidate_002,Office Administrator,Monitoring,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (69.14%). Review mapped CIP education pathways for this occupation.
Candidate_002,Office Administrator,Speaking,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (69.14%). Review mapped CIP education pathways for this occupation.
Candidate_002,Office Manager,Monitoring,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Monitoring as a medium-priority skill gap (69.14%). Review mapped CIP education pathways for this occupation.
Candidate_002,Office Manager,Speaking,4.0,4.0,0.0,0.8,52.86,0.691,69.14,1,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Speaking as a medium-priority skill gap (69.14%). Review mapped CIP education pathways for this occupation.
Candidate_002,Office Manager,Active Listening,4.0,3.88,0.0,0.788,52.86,0.684,68.42,2,13,True,CIP pathway available,Review mapped CIP education pathways,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (68.42%). Review mapped CIP education pathways for this occupation.
Candidate_002,Restaurant Manager,Speaking,3.88,4.0,0.0,0.788,58.65,0.707,70.74,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Speaking. The skill gap has high prescriptive priority (70.74%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Restaurant Manager,Monitoring,3.88,3.88,0.0,0.776,58.65,0.7,70.02,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,Moderate,Prioritize developing Monitoring. The skill gap has high prescriptive priority (70.02%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Restaurant Manager,Active Listening,3.88,3.5,0.0,0.738,58.65,0.677,67.74,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Moderate,Consider developing Active Listening as a medium-priority skill gap (67.74%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Retail Sales Associate,Active Listening,3.75,3.75,0.0,0.75,86.44,0.796,79.58,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Active Listening. The skill gap has high prescriptive priority (79.58%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Retail Sales Associate,Speaking,3.75,3.12,0.0,0.687,86.44,0.758,75.8,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Speaking. The skill gap has high prescriptive priority (75.80%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Retail Sales Associate,Monitoring,3.0,3.12,0.0,0.612,86.44,0.713,71.3,3,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,High,High,Prioritize developing Monitoring. The skill gap has high prescriptive priority (71.30%) and the occupation has high Canadian labour demand (86.44%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_002,Secondary School Teacher,Speaking,4.0,4.12,0.0,0.812,36.36,0.633,63.26,1,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Speaking as a medium-priority skill gap (63.26%). Review mapped CIP education pathways for this occupation.
Candidate_002,Secondary School Teacher,Active Listening,4.0,4.0,0.0,0.8,36.36,0.625,62.54,2,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (62.54%). Review mapped CIP education pathways for this occupation.
Candidate_002,Secondary School Teacher,Monitoring,3.88,4.0,0.0,0.788,36.36,0.618,61.82,3,92,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Monitoring as a medium-priority skill gap (61.82%). Review mapped CIP education pathways for this occupation.
Candidate_002,Software Developer,Active Listening,3.38,3.88,0.0,0.726,22.91,0.527,52.72,1,20,True,CIP pathway available,Review mapped CIP education pathways,Medium,Lower,Consider developing Active Listening as a medium-priority skill gap (52.72%). Review mapped CIP education pathways for this occupation.
Candidate_002,Software Developer,Speaking,3.12,3.62,0.0,0.6739999999999999,22.91,0.496,49.6,2,20,True,CIP pathway available,Review mapped CIP education pathways,Lower,Lower,Consider developing Speaking as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_002,Software Developer,Monitoring,3.0,3.5,0.0,0.6499999999999999,22.91,0.482,48.16,3,20,True,CIP pathway available,Review mapped CIP education pathways,Lower,Lower,Consider developing Monitoring as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_003,Administrative Assistant,Mathematics,2.0,1.62,0.0,0.362,43.85,0.393,39.26,1,2,True,CIP pathway available,Review mapped CIP education pathways,Lower,Moderate,Consider developing Mathematics as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_003,Administrative Assistant,Science,1.0,0.0,0.0,0.1,43.85,0.235,23.54,2,2,True,CIP pathway available,Review mapped CIP education pathways,Lower,Moderate,Consider developing Science as an additional skill for the target occupation. Review mapped CIP education pathways for this occupation.
Candidate_003,Bookkeeper,Mathematics,3.38,3.38,0.0,0.6759999999999999,29.92,0.525,52.53,1,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Medium,Lower,Consider developing Mathematics as a medium-priority skill gap (52.53%). Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
Candidate_003,Bookkeeper,Science,1.12,0.12,0.0,0.12400000000000001,29.92,0.194,19.41,2,0,False,No mapped CIP pathway available,Investigate education/training pathways separately,Lower,Lower,Consider developing Science as an additional skill for the target occupation. Investigate relevant education or training pathways separately because no mapped CIP pathway is available.
