candidate_id,recommended_occupation,hybrid_recommendation_score,recommendation_explanation,prioritized_skill_gaps,average_prescriptive_priority,maximum_prescriptive_priority,demand_percentage,demand_level,cip_status,education_action
Candidate_012,Software Developer,68.08,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_013,Software Developer,53.35,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_014,Software Developer,58.55,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_016,Software Developer,79.96,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Writing (50.38%); Monitoring (48.16%),49.27,50.38,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_017,Administrative Assistant,87.71,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (55.76%); Science (23.54%),39.65,55.76,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_019,Office Manager,74.62,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Speaking (69.14%); Active Listening (68.42%); Science (27.14%),54.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_020,Software Developer,63.86,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_021,Software Developer,63.86,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_022,Office Manager,98.56,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Science (27.14%),27.14,27.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_023,Office Manager,55.62,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Monitoring (69.14%); Speaking (69.14%); Active Listening (68.42%),68.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_024,Office Manager,74.62,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Speaking (69.14%); Active Listening (68.42%); Science (27.14%),54.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_025,Software Developer,69.05,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_026,Software Developer,68.08,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_027,Office Manager,55.62,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Monitoring (69.14%); Speaking (69.14%); Active Listening (68.42%),68.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_028,Office Manager,55.62,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Monitoring (69.14%); Speaking (69.14%); Active Listening (68.42%),68.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_030,Office Manager,55.62,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Monitoring (69.14%); Speaking (69.14%); Active Listening (68.42%),68.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_031,Administrative Assistant,87.71,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (55.76%); Science (23.54%),39.65,55.76,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_033,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_034,Office Manager,98.56,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Science (27.14%),27.14,27.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_035,Software Developer,90.46,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (48.16%),48.16,48.16,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_036,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_037,Software Developer,78.59,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%),51.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_038,Software Developer,69.05,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_040,Software Developer,58.55,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_041,Office Manager,74.62,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Speaking (69.14%); Active Listening (68.42%); Science (27.14%),54.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_042,Software Developer,58.55,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_043,Software Developer,79.96,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Writing (50.38%); Monitoring (48.16%),49.27,50.38,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_044,Software Developer,78.59,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%),51.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_045,Delivery Driver,83.81,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Active Learning (39.54%); Learning Strategies (36.54%); Science (22.26%),32.78,39.54,37.05,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_046,Software Developer,63.86,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_047,Office Manager,98.56,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Science (27.14%),27.14,27.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_048,Software Developer,63.86,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_049,"Driver, Truck",59.3,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (70.80%); Speaking (70.80%); Mathematics (58.80%),66.8,70.8,88.8,High,CIP pathway available,Review mapped CIP education pathways
Candidate_050,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_051,Administrative Assistant,47.93,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (64.04%); Speaking (63.26%); Monitoring (55.76%),61.02,64.04,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_052,Software Developer,78.59,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%),51.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_053,Bookkeeper,58.07,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (53.97%); Speaking (49.41%); Monitoring (47.25%),50.21,53.97,29.92,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_054,Office Manager,98.56,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Science (27.14%),27.14,27.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_055,Office Manager,67.69,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Speaking (69.14%); Active Listening (68.42%); Mathematics (54.14%),63.9,69.14,52.86,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_056,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_057,Software Developer,90.46,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (48.16%),48.16,48.16,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_058,Administrative Assistant,82.64,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (55.76%); Mathematics (39.26%); Science (23.54%),39.52,55.76,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_059,Software Developer,69.05,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Speaking (49.60%); Monitoring (48.16%),50.16,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_060,Software Developer,58.55,Moderate recommendation based on combined candidate profile similarity and O*NET skill alignment.,Active Listening (52.72%); Writing (50.38%); Speaking (49.60%),50.9,52.72,22.91,Lower,CIP pathway available,Review mapped CIP education pathways
Candidate_062,Administrative Assistant,93.24,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Mathematics (39.26%); Science (23.54%),31.4,39.26,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
Candidate_063,Administrative Assistant,82.64,Strong match based on both baseline candidate features and weighted O*NET skill alignment.,Monitoring (55.76%); Mathematics (39.26%); Science (23.54%),39.52,55.76,43.85,Moderate,CIP pathway available,Review mapped CIP education pathways
